Station,Tag,Easting,Northing,Meters_Above_Sealevel,Locationtype,Remarks
BASEL-BINNINGEN,BAS,2610890,1265605,316,Vorstädtisch,
BERN-BOLLWERK,BER,2600170,1199990,536,Städtisch,verkehrsbelasted
BEROMÜNSTERk,BRM,2655840,1226780,797,Ländlich, unterhalb 1000 m ü.M.
CHAUMONT,CHA,2565085,1211040,1136,Ländlich, oberhalb 1000 m ü.M.
DAVOS-SEEHORNWALD,DAV,2784455,1187735,1637,Ländlich, oberhalb 1000 m ü.M.
DÜBENDORF-EMPA,DUE,6288675,1250900,432,Vorstädtisch,
HÄRKINGEN-A1,HAE,2628875,1240180,431,Ländlich, an Autobahn
JUNGFRAUJOCH,JUN,2641910,1155280,3578,Hochgebirge,
LAUSANNE-CÉSAR-ROUX,LAU,2538690,1152615,530,Städtisch,verkehrsbelasted
LUGANO-UNIVERSITA,LUG,2717610,196645,280,Städtisch
MAGADINO-CADENAZZO,MAG,7215500,1113195,203,Ländlich, unterhalb 1000 m ü.M.
PAYERNE,PAY,2562285,1184775,489,Ländlich, unterhalb 1000 m ü.M.
RIGI-SEEBODENALP,RIG,2677835,1213440,1031,Ländlich, oberhalb 1000 m ü.M.
SION-AÉROPORT-A9,SIO,2592545,1118745,483,Ländlich, an Autobahn
TÄNIKON,TAE,2710500,1259810,538,Ländlich, unterhalb 1000 m ü.M.
ZÜRICH-KASERNE,ZUE,2682450,1247990,409,Städtisch,
